date_time,ultimo_cierre,minimo,maximo,ingresos,apertura,volumen,volumen_promedio,ultimo_precio
2023-05-05 23:11:14.474165,"4.768,75",4.841,"5.229,9","2,53",4.841,322.677,304.817,
2023-05-08 15:10:10.264048,"5.202,55",5.217,"5.376,1","2,53",5.217,158.556,304.817,
2023-05-08 15:10:27.563116,"5.202,55",5.217,"5.376,1","2,53",5.217,158.626,304.817,
2023-05-08 16:26:44.078323,"5.202,55",5.217,"5.376,1","2,53",5.217,200.111,304.817,
2023-05-08 16:27:57.916936,"5.202,55",5.217,"5.376,1","2,53",5.217,202.436,304.817,
2023-05-08 16:32:20.396239,"5.202,55",5.217,"5.376,1","2,53",5.217,203.411,304.817,
2023-05-08 16:49:32.928998,"5.202,55",5.217,"5.376,1","2,53",5.217,211.215,304.817,
2023-05-08 19:31:30.464894,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:32:30.624894,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:32:54.260681,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:33:47.194170,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:34:13.078297,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:35:29.640297,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:35:46.814943,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:45:41.764638,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:50:32.305150,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:50:48.720648,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:52:04.958080,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 19:52:25.745308,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-08 21:53:14.340922,"5.202,55",5.217,"5.376,1","2,53",5.217,229.0,310.936,
2023-05-09 00:57:45.392207,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 00:59:09.451962,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:18:06.696088,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:21:16.341476,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:23:01.595538,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:35:18.270958,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:48:02.847387,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:52:37.952450,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:55:00.822994,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 01:58:11.492815,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 02:04:49.499466,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 02:05:52.275342,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 02:06:11.262482,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 02:06:44.417615,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
2023-05-09 02:08:38.131385,"5.202,55",5.217,"5.376,1","2,09",5.217,229.0,310.936,
